frame_id,neither,both,ours_only,baseline_only,net_coverage,ours_unmatched,baseline_unmatched
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_140,30,82,25,8,17,208,227
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_141,36,77,24,10,14,216,237
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_142,38,78,25,5,20,200,245
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_143,37,82,19,9,10,218,228
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_144,36,80,22,8,14,206,219
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_145,33,74,30,9,21,202,227
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_146,32,70,36,8,28,215,252
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_147,33,82,23,9,14,236,218
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_148,36,79,23,9,14,222,226
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_149,34,83,23,8,15,231,252
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_150,34,77,26,11,15,192,232
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_151,31,76,31,9,22,225,237
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_152,36,79,25,9,16,212,230
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_153,33,78,28,10,18,185,233
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_154,39,79,27,5,22,207,243
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_155,32,81,30,6,24,209,239
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_156,41,78,21,9,12,223,237
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_157,38,78,28,6,22,219,234
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_158,33,82,28,6,22,193,228
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_159,35,81,25,8,17,193,222
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_160,35,83,26,5,21,211,220
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_161,38,81,26,5,21,222,240
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_162,36,76,29,7,22,212,244
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_163,37,75,29,6,23,195,228
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_164,36,74,29,6,23,235,237
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_165,40,73,26,8,18,244,258
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_166,40,75,27,3,24,229,248
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_167,33,76,30,8,22,220,246
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_168,34,73,35,7,28,238,241
segment-8956556778987472864_3404_790_3424_790_with_camera_labels_169,38,74,29,5,24,229,237
